TOA,TOB,FROMA,FROMB,DESCRIPTION
Parking Lot 9G,N/A,Morse Hall ,North Entrance,"If you are leaving from Morse Hall, take an immediate right and allow the building to guide you. Keep to the left of the path as you pass the front steps in front of the Biology Building on your right. Continue past another set of stairs on your right, then start towards your right down the ramp. Orient yourself so that the Interdisciplinary Science Building is on your left and the Biology Building is on your right. At the end of the ramp is parking lot 9G."
Parking Lot 9G,N/A,Morse Hall ,South Entrance,"If you are leaving from Morse Hall, take an immediate right and allow the building to guide you. Keep to the left of the path as you pass the front steps in front of the Biology Building on your right. Continue past another set of stairs on your right, then start towards your right down the ramp. Orient yourself so that the Interdisciplinary Science Building is on your left and the Biology Building is on your right. At the end of the ramp is parking lot 9G."
Morse Hall ,North Entrance,Parking Lot 9G,N/A,"If you are leaving from the parking lot, start at the base of the ramp and let the metal rails guide you up the path. Orient yourself so that the Interdisciplinary Science Building is on your right and the Biology Building is on your left. Once the ramp ends, start towards your left, but keep on the right side of the path. Follow the grass ledge until the path widens. Take a left, and orient yourself so that Haskell Plaza is on your right and the Biology Building is on your left. Continue straight past the steps in front of the Biology Building, then letting the grass ledge guide you for 20 meters. Once you reach Morse Hall, allow the building to guide you until you reach the second entrance on the left. The push button for automatic door for automatic door will be on your right and the doors will be ahead."
Morse Hall ,South Entrance,Parking Lot 9G,N/A,"If you are leaving from the parking lot, start at the base of the ramp and let the metal rails guide you up the path. Orient yourself so that the Interdisciplinary Science Building is on your right and the Biology Building is on your left. Once the ramp ends, start towards your left, but keep on the right side of the path. Follow the grass ledge until the path widens. Take a left, and orient yourself so that Haskell Plaza is on your right and the Biology Building is on your left. Continue straight past the steps in front of the Biology Building, then letting the grass ledge guide you for 20 meters. Once you reach Morse Hall, allow the building to guide you until you reach the first entrance on the left. The push button for automatic door for automatic door will be on your right and the doors will be ahead."
Morse Hall ,North Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from Morse Hall, take an immediate right and allow the building to guide you. Keep to the left of the path as you pass the front steps in front of the Biology Building on your right. Continue past another set of stairs on your right, then start towards your right down the ramp. Align yourself where the grass ledge meets the brick path. The sidewalk wil slope down as you cross a minor road. Once crossed, orient yourself so that the track is on your right and parking lot 19G is on your left. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, the bus stop will be marked by a tall pole and covered area on your left."
Morse Hall ,South Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from Morse Hall, take an immediate right and allow the building to guide you. Keep to the left of the path as you pass the front steps in front of the Biology Building on your right. Continue past another set of stairs on your right, then start towards your right down the ramp. Align yourself where the grass ledge meets the brick path. The sidewalk wil slope down as you cross a minor road. Once crossed, orient yourself so that the track is on your right and parking lot 19G is on your left. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, the bus stop will be marked by a tall pole and covered area on your left."
Rec Center Bus Stop ,N/A,Morse Hall ,North Entrance,"If you are leaving from the bus stop, orient yourself so you are parallel to Bill McDonald Parkway and continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, orient yourself so that the Wade King Rec Center is on your left. Follow this path as it slopes down to cross a minor road near parking lot 19G. Align yourself with the grass ledge on your right as it slopes upwards. The ledge will end near the start for a few meters but continue forward. Once the ledge ends the second time, start towards your left. Continue straight past the steps in front of the Biology Building, then letting the grass ledge guide you for 20 meters. Once you reach Morse Hall, allow the building to guide you until you reach the second entrance on the left. The push button for automatic door for automatic door will be on your right and the doors will be ahead."
Rec Center Bus Stop ,N/A,Morse Hall ,South Entrance,"If you are leaving from the bus stop, orient yourself so you are parallel to Bill McDonald Parkway and continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, orient yourself so that the Wade King Rec Center is on your left. Follow this path as it slopes down to cross a minor road near parking lot 19G. Align yourself with the grass ledge on your right as it slopes upwards. The ledge will end near the start for a few meters but continue forward. Once the ledge ends the second time, start towards your left. Continue straight past the steps in front of the Biology Building, then letting the grass ledge guide you for 20 meters. Once you reach Morse Hall, allow the building to guide you until you reach the first entrance on the left. The push button for automatic door for automatic door will be on your right and the doors will be ahead."
Miller Hall,Main Entrance,Parking Lot 10G,N/A,"If you are approaching Miller Hall from the north section of lot 10G, continue as the asphalt of the parking lot changes to brick. Fraser Hall is on your right and Miller Hall is on your left. Keep straight, aligning yourself with front steps of Miller Hall until you reach the accessible ramp on your left. The metal rails will guide you towards the push button for automatic door for automatic door which is hip level. 
"
Parking Lot 10G,N/A,Miller Hall,Main Entrance,"If you are leaving from the main entrance of Miller Hall, align yourself with the rail of the gradual ramp, staying right. Take an immediate right, Miller Hall is on your right and Red Square is now on your left. Continue forward until the brick surface changes to the asphalt of Parking Lot 10G."
